iter	Passed	Remaining
741	149834	859834
742	150001	859431
743	150204	859235
744	150417	859094
745	150606	858821
746	150804	858598
747	150992	858316
748	151179	858027
749	151338	857584
750	151518	857260
751	151738	857160
752	151954	857040
753	152177	856954
754	152376	856736
755	152563	856456
756	152757	856207
757	152955	855983
758	153123	855594
759	153317	855350
760	153505	855072
761	153760	855164
762	153960	854953
763	154132	854587
764	154334	854387
765	154504	854008
766	154729	853935
767	154907	853606
768	155089	853294
769	155293	853107
770	155534	853122
771	155711	852783
772	155889	852453
773	156071	852140
774	156243	851776
775	156422	851452
776	156631	851293
777	156888	851394
778	157092	851204
779	157284	850947
780	157470	850664
781	157655	850372
782	157826	850005
783	158021	849768
784	158243	849677
785	158428	849387
786	158653	849309
787	158821	848928
788	159015	848686
789	159186	848324
790	159390	848134
791	159580	847871
792	159786	847692
793	159958	847337
794	160146	847064
795	160357	846913
796	160574	846795
797	160776	846595
798	161043	846738
799	161238	846503
800	161415	846171
801	161606	845916
802	161794	845643
803	162008	845507
804	162182	845162
805	162367	844872
806	162573	844696
807	162815	844705
808	163015	844494
809	163250	844469
810	163420	844103
811	163590	843741
812	163783	843496
813	163960	843167
814	164131	842809
815	164293	842407
816	164457	842015
817	164646	841749
818	164835	841484
819	165009	841148
820	165199	840889
821	165387	840620
822	165600	840476
823	165779	840164
824	165977	839944
825	166141	839558
826	166322	839257
827	166470	838787
828	166647	838462
829	166831	838176
830	166996	837797
831	167177	837495
832	167344	837123
833	167523	836813
834	167766	836824
835	167942	836499
836	168139	836275
837	168321	835985
838	168488	835616
839	168680	835372
840	168882	835176
841	169052	834821
842	169255	834633
843	169474	834521
844	169661	834250
845	169844	833964
846	170004	833561
847	170183	833256
848	170368	832978
849	170525	832565
850	170682	832153
851	170857	831827
852	171023	831461
853	171217	831226
854	171389	830890
855	171563	830559
856	171754	830312
857	171972	830197
858	172180	830036
859	172361	829740
860	172555	829510
861	172732	829194
862	172890	828794
863	173056	828427
864	173238	828141
865	173450	827996
866	173634	827716
867	173847	827580
868	174046	827371
869	174233	827107
870	174446	826968
871	174659	826830
872	174888	826763
873	175093	826586
874	175303	826429
875	175505	826236
876	175722	826117
877	175921	825907
878	176117	825686
879	176331	825553
880	176570	825531
881	176766	825309
882	176971	825130
883	177209	825108
884	177406	824889
885	177622	824763
886	177831	824600
887	178077	824610
888	178309	824558
889	178526	824430
890	178727	824231
891	178951	824138
892	179118	823784
893	179319	823583
894	179477	823189
895	179656	822891
