iter	RMSE
441	4.837103314
442	4.836639418
443	4.836192836
444	4.835485842
445	4.834651374
446	4.834094799
447	4.833506428
448	4.833134894
449	4.832564119
450	4.832063411
451	4.83141954
452	4.830985037
453	4.830385049
454	4.829986288
455	4.829683831
456	4.829232426
457	4.828762362
458	4.828457897
459	4.827998716
460	4.827676828
461	4.827257412
462	4.826796011
463	4.82627003
464	4.82574219
465	4.825019839
466	4.824549691
467	4.82383175
468	4.82312782
469	4.822750417
470	4.822024422
471	4.821259721
472	4.820645963
473	4.820131331
474	4.819717456
475	4.818521142
476	4.81816426
477	4.817832206
478	4.817375084
479	4.816975855
480	4.816532592
481	4.816080407
482	4.815582962
483	4.815040518
484	4.814391124
485	4.813975053
486	4.813589119
487	4.813262407
488	4.812934513
489	4.81229923
490	4.81190521
491	4.811402609
492	4.810994901
493	4.810560276
494	4.810099274
495	4.809602485
496	4.809198137
497	4.80879197
498	4.808414254
499	4.808055432
500	4.807469859
501	4.806962414
502	4.80642674
503	4.806112247
504	4.805603647
505	4.805096079
506	4.80467786
507	4.80430392
508	4.803922815
509	4.803318051
510	4.80292643
511	4.802441249
512	4.801956557
513	4.801610179
514	4.801018673
515	4.800359056
516	4.799846716
517	4.79954398
518	4.798974875
519	4.798504713
520	4.798074419
521	4.797780578
522	4.797058824
523	4.796619172
524	4.7962122
525	4.795736491
526	4.795404043
527	4.795014204
528	4.79451097
529	4.794120858
530	4.79353395
531	4.793125944
532	4.792834064
533	4.792127209
534	4.791758325
535	4.791433868
536	4.790932542
537	4.790372058
538	4.790027651
539	4.789582481
540	4.789267246
541	4.788919745
542	4.788547372
543	4.787971055
544	4.7872778
545	4.786955412
546	4.786415241
547	4.785770641
548	4.785312828
549	4.784826076
550	4.784423562
551	4.784148708
552	4.783839964
553	4.7834782
554	4.782801807
555	4.782523819
556	4.78225137
557	4.781641082
558	4.781364931
559	4.781086382
560	4.780839404
561	4.780373593
562	4.779996941
563	4.77957054
564	4.779145404
565	4.778787351
566	4.778476427
567	4.77809663
568	4.777802496
569	4.777464983
570	4.776935984
571	4.776582181
572	4.77600742
573	4.775533549
574	4.775281195
575	4.774493996
576	4.77404492
577	4.773534294
578	4.773146224
579	4.772710775
580	4.772075059
581	4.771461573
582	4.770860633
583	4.770360764
584	4.770025699
585	4.769324094
586	4.768893328
587	4.76843474
588	4.767941232
589	4.767644607
590	4.767333427
591	4.767089164
592	4.76669758
593	4.765924758
594	4.765669004
595	4.765445003
596	4.765005243
597	4.764767865
598	4.76435
599	4.763516726
600	4.763257932
601	4.762682926
602	4.762116525
603	4.761885409
604	4.761499265
605	4.76101624
606	4.760794953
607	4.760584276
608	4.760297276
609	4.75980422
610	4.759500338
611	4.758605639
612	4.758195557
613	4.757882812
614	4.757586413
615	4.757373159
616	4.757153464
617	4.756664532
618	4.755590041
619	4.754990913
620	4.754779564
621	4.754556411
622	4.754286183
623	4.753907615
624	4.753448474
625	4.75329533
626	4.753089061
627	4.752531213
628	4.751888669
629	4.751675071
630	4.751262924
631	4.750963816
632	4.750364026
633	4.750095596
634	4.749685564
635	4.749479789
636	4.749214438
637	4.748959863
638	4.748228972
639	4.747763659
640	4.747094241
641	4.746920316
642	4.746720661
643	4.746422165
644	4.746000979
645	4.745614597
646	4.745380861
647	4.745184571
648	4.744692585
649	4.744309223
650	4.74406046
651	4.743632674
652	4.743324642
653	4.742664335
654	4.742473247
655	4.742041592
656	4.74176502
657	4.741391085
658	4.740656732
659	4.740266421
660	4.739964301
661	4.739701081
662	4.739325124
663	4.738988773
664	4.738626225
665	4.738431823
666	4.738146715
667	4.737508469
668	4.737302733
669	4.737139512
670	4.73695483
671	4.73665369
672	4.736167295
673	4.735722181
674	4.735156792
675	4.734875833
676	4.734523233
677	4.73436966
678	4.733897606
679	4.733692103
680	4.733054794
681	4.732743165
682	4.73253744
683	4.732359845
684	4.731932173
685	4.73168126
686	4.731500074
687	4.731165423
688	4.730794117
689	4.730125928
690	4.72984209
691	4.729450352
692	4.729185089
693	4.728930586
694	4.728517229
695	4.728249723
696	4.727503651
697	4.727320199
698	4.726907896
699	4.72671077
700	4.726469877
701	4.726223447
702	4.726083536
703	4.725811166
704	4.725425099
705	4.725124681
706	4.72491473
707	4.724606215
708	4.724269391
709	4.723807579
710	4.723363067
711	4.723116032
712	4.722385916
713	4.722132909
714	4.721998304
715	4.721566306
716	4.721063847
717	4.720787071
718	4.720383741
719	4.719873559
720	4.719392934
721	4.719235916
722	4.718766302
723	4.71779034
724	4.717553996
725	4.717424541
726	4.717118317
727	4.716586084
728	4.716399268
729	4.716001569
730	4.715708462
731	4.715508953
732	4.715080418
733	4.714890253
734	4.714183653
735	4.713779562
736	4.713555898
737	4.713129899
738	4.712561935
739	4.712065876
740	4.711738171
741	4.711355957
742	4.711116655
743	4.710986829
744	4.710516158
745	4.710220365
746	4.709924076
747	4.709423503
748	4.709200773
749	4.708972379
750	4.708827713
751	4.708618995
752	4.708128377
753	4.707871945
754	4.707162419
755	4.706853272
756	4.706683948
757	4.706242945
758	4.706027038
759	4.705046511
760	4.704322762
761	4.703682258
762	4.703188462
763	4.702960406
764	4.702549177
765	4.701992588
766	4.701411885
767	4.70099769
768	4.700724472
769	4.700447201
770	4.700143329
771	4.699437851
772	4.699282466
773	4.699163289
774	4.698887722
775	4.698408564
776	4.697885527
777	4.697300202
778	4.696845615
779	4.696552186
780	4.69614213
781	4.695614258
782	4.69536172
783	4.695236008
784	4.694988653
785	4.69477463
786	4.693849644
787	4.693596711
788	4.692780837
789	4.692556306
790	4.691649477
791	4.691349348
792	4.691119941
793	4.690817834
794	4.690603195
795	4.690389701
796	4.690103538
797	4.689869656
798	4.689279758
799	4.688398643
800	4.688187373
801	4.687971653
802	4.687693775
803	4.687419017
804	4.687211273
805	4.686889487
806	4.686621269
807	4.686187481
808	4.68600427
809	4.685815376
810	4.685639578
811	4.685274814
812	4.684919096
813	4.684769623
814	4.684128415
815	4.683847955
816	4.683702689
817	4.683235261
818	4.682593466
819	4.682000191
820	4.681745267
821	4.68154675
822	4.680991523
823	4.680444057
824	4.680199716
825	4.679979452
826	4.679606863
827	4.679341098
828	4.679150235
829	4.6789475
830	4.678327794
831	4.678194666
832	4.677940017
833	4.677683278
834	4.677110452
835	4.676703089
836	4.67609526
837	4.675911464
838	4.675705278
839	4.675211451
840	4.67467736
841	4.674574898
842	4.674304469
843	4.673750563
844	4.672915103
845	4.672790114
846	4.672542467
847	4.672340145
848	4.671876307
849	4.671517038
850	4.671268099
851	4.67109722
852	4.670928579
853	4.67065941
854	4.670420203
855	4.670179897
856	4.669816762
857	4.669322732
858	4.668496783
859	4.66837231
860	4.667906115
861	4.667698988
862	4.667587525
863	4.667231673
864	4.666900399
865	4.666496515
866	4.666308072
867	4.66606502
868	4.665812753
869	4.665525018
870	4.6653403
871	4.664948787
872	4.66430091
873	4.663994675
874	4.663849029
875	4.663262222
876	4.662824688
877	4.662661991
878	4.662040767
879	4.661467599
880	4.66087629
881	4.660321096
882	4.659937117
883	4.659479959
884	4.658884564
885	4.658648033
886	4.658366157
887	4.657853846
888	4.657411933
889	4.656773806
890	4.655994263
891	4.655590043
892	4.655033465
893	4.654791519
894	4.654567351
895	4.653976687
896	4.653852776
897	4.653386294
898	4.653127114
899	4.652563947
900	4.65231883
901	4.6520586
902	4.651617121
903	4.651201678
904	4.651032586
905	4.650848418
906	4.650672277
907	4.650084811
908	4.649884046
909	4.649431287
910	4.649215648
911	4.648995553
912	4.648761582
913	4.648341945
914	4.647733578
915	4.647508803
916	4.647067281
917	4.646361962
918	4.6457929
919	4.645570684
920	4.64541692
921	4.645193214
922	4.644998878
923	4.644687761
924	4.644383851
925	4.644169403
926	4.643999472
927	4.643405234
928	4.643151409
929	4.642261227
930	4.642087074
931	4.641844445
932	4.641665874
933	4.641443153
934	4.64125807
935	4.640805235
936	4.640343888
937	4.639913098
938	4.63972751
939	4.639556858
940	4.639311297
941	4.639068592
942	4.63853245
943	4.638350787
944	4.637905057
945	4.637704236
946	4.637511049
947	4.637308377
948	4.636964579
949	4.636438841
950	4.636159873
951	4.635973404
952	4.635446931
953	4.635258308
954	4.634824521
955	4.634657197
956	4.634218066
957	4.633651338
958	4.633350356
959	4.633065244
960	4.632617721
961	4.632199101
962	4.631780534
963	4.631515168
964	4.631335783
